Source,Destination,Anchor,Status Code
https://www.hhs.gov/ohrp/coded-private-information-or-biospecimens-used-research.html,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf - PDF,404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/research-involving-coded-private-information/index.html,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf,http://privacyruleandresearch.nih.gov/pdf/IRB_Factsheet.pdf,404
https://www.hhs.gov/guidance/document/ltss-webinars,https://www.cms.gov/Outreach-and-Education/American-Indian-Alaska-Native/AIAN/Webinar-Archive-Documents/SupportingEldersAcrossSettings.pdf,Supporting Elders Across Settings: Care Transitions Opportunities and Tribal Organizations (PDF),404
https://www.hhs.gov/blog/2022/08/17/doing-homework-on-vaccines-this-back-to-school-season-here-are-10-ways-to-separate-fact-from-fiction-test.html,https://www.cdc.gov/vaccines/parents/index.html,CDC,404
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.fema.gov/media-library-data/1591797668521-53c8f0392672146078710ff8a75f7696/CIVILRIGHTSSTAKEHOLDERCALLTRANSCRIPT05062020_SPANISH.pdf,En Español,404
https://www.hhs.gov/about/hhs-manuals/hhs-facilities-manual/safety-environmental-management/index.html,https://www.cdc.gov/nceh/tracking/topics/ClimateChange.htm,CDC NEPH Climate Change,404
https://www.hhs.gov/guidance/document/coronavirus-covid-19-partner-toolkit,https://www.cdc.gov/coronavirus/2019-ncov/communication/toolkits/people-with-disabilities.html,Toolkit for People with Disabilities,404
https://www.hhs.gov/vaccines/nvac/reports-and-recommendations/public-engagement/index.html,https://www.cdc.gov/vaccinesafety/Activities/About_ISO.html,CDC's Immunization Safety Office (ISO),404
https://www.hhs.gov/ohrp/sachrp-committee/meetings/2016-october-25-26/index.html,https://videocast.nih.gov/summary.asp?Live=20075&bhcp=1,"October 26, 2016",404
https://www.hhs.gov/guidance/document/provider-preventive-resources,https://www.cms.gov/Outreach-and-Education/Medicare-Learning-Network-MLN/MLNProducts/Downloads/DSMT-Fact-Sheet-909381.pdf,Becoming an MDPP supplier or an accredited diabetes self-management training provider (PDF),404
https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/access-other-reports-by-the-national-commission/index.html,https://videocast.nih.gov/pdf/ohrp_appendix_research_fetus.pdf,Appendix,404
https://www.hhs.gov/guidance/document/petition-response-rb-02022022-and-exhibit,https://www.hhs.gov/guidance/sites/default/files/hhs-guidance-documents/Petition%20Response%20to%20RB%2002022022%20and%20Exhibit%20A_0.pdf,Download the Guidance Document,404
https://www.hhs.gov/surgeongeneral/reports-and-publications/youth-vaping/index.html,https://doi.org/10.1289/EHP12345,https://doi.org/10.1289/EHP12345,404
https://www.hhs.gov/surgeongeneral/reports-and-publications/youth-vaping/index.html,https://doi.org/10.1289/EHP12345,https://doi.org/10.1289/EHP12345,404
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/ccdh/index.html,https://www.hhs.gov/sites/default/files/ra_cap_ccdh.pdf,Read the Resolution Agreement and Corrective Action Plan,404
https://www.hhs.gov/ohrp/sachrp-committee/meetings/2018-october-16-17/index.html,https://videocast.nih.gov/live.asp?live=28806&bhcp=1,"October 16, 2018",404
https://www.hhs.gov/surgeongeneral/reports-and-publications/physical-activity-nutrition/walking-executive-summary/index.html,https://www.cdc.gov/nchs/nhis/about_nhis.htm,https://www.cdc.gov/nchs/nhis/about_nhis.htm,404
https://www.hhs.gov/hipaa/for-professionals/privacy/guidance/hipaa-audio-telehealth/index.html,https://www.samhsa.gov/section-223/care-coordination/telehealth-telemedicine,https://www.samhsa.gov/section-223/care-coordination/telehealth-telemedicine,404
https://www.hhs.gov/about/agencies/dab/decisions/alj-decisions/2019/alj-tb4544/index.html,https://ohio.gov/wps/portal/gov/site/residents/resources/driver-licenses,https://ohio.gov/wps/portal/gov/site/residents/resources/driver-licenses,404
https://www.hhs.gov/answers/programs-for-families-and-children/what-agencies-advocate-for-people-with-disabilities/index.html,https://www.hud.gov/program_offices/fair_housing_equal_opp/disability_overview,Department of Housing and Urban Development,404
https://www.hhs.gov/givingequalsliving/giveplasma/why-give,https://rarediseases.info.nih.gov/diseases/5194/idiopathic-thrombocytopenic-purpura,Idiopathic thrombocytopenic purpura,404
https://www.hhs.gov/hipaa/for-professionals/special-topics/hipaa-covid19/index.html,https://www.hhs.gov/sites/default/files/derechos-civiles-la-ley-hipaa-y-la-enfermedad-del-coronavirus-2019.pdf,"Boletín informativo de marzo de 2020 - Derechos Civiles, la ley HIPAA y la enfermedad del coronavirus 2019 (COVID-19)",404
https://www.hhs.gov/vaccines/nvac/working-groups/2-4-09-vaccine-safety-working-group-meeting-webcast/index.html,https://videocast.nih.gov/faq,RealPlayer,404
https://www.hhs.gov/vaccines/nvac/working-groups/2-4-09-vaccine-safety-working-group-meeting-webcast-bernard-richard/index.html,https://videocast.nih.gov/faq,RealPlayer,404
https://www.hhs.gov/vaccines/nvac/working-groups/2-4-09-vaccine-safety-working-group-meeting-webcast-tracy-cron/index.html,https://videocast.nih.gov/faq,RealPlayer,404
https://www.hhs.gov/vaccines/nvac/working-groups/2-4-09-vaccine-safety-working-group-meeting-webcast-toni-dileo/index.html,https://videocast.nih.gov/faq,RealPlayer,404
https://www.hhs.gov/hepatitis/awareness-months-and-days/hepatitis-awareness-month-may/index.html,https://www.cdc.gov/knowhepatitisb/materials.htm,campaign materials,404
https://www.hhs.gov/about/agencies/asl/testimony/2024/05/08/fy-2025-presidents-budget.html,https://www.cdc.gov/nchs/pressroom/nchs_press_releases/2022/20220831.htm,"https://www.cdc.gov/nchs/pressroom/nchs_press_releases/2022/20220831.htm#:~:text=AIAN%20people%20had%20a%20life,total%20U.S.%20population%20in%201944",404
https://www.hhs.gov/about/agencies/asl/testimony/2023/05/11/fy-2024-presidents-budget.html,https://www.cdc.gov/nchs/pressroom/nchs_press_releases/2022/20220831.htm,"https://www.cdc.gov/nchs/pressroom/nchs_press_releases/2022/20220831.htm#:~:text=AIAN%20people%20had%20a%20life,total%20U.S.%20population%20in%201944",404
https://www.hhs.gov/civil-rights/for-providers/compliance-enforcement/agreements/georgia-dcfs-bulletin/index.html,https://www.hhs.gov/sites/default/files/DFCS%20Revised%20Settlement%20Agreement%20clean%20(508).pdf,click here,404
https://www.hhs.gov/grants-contracts/contracts/contract-policies-regulations/apm-2012-03-attachmentc/index.html,https://www.acquisition.gov/far/current/html/52_000_107.html,52.102,404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/january-08-2010-correspondence-student-subject-pools-and-use-of-penalties/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/january-08-2010-correspondence-student-subject-pools-and-use-of-penalties/regulations-and-policy/guidance/january-08-2010-letter-to-dr-justin-fidler/index.html,Letter,404
https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/anthem/index.html,https://www.hhs.gov/sites/default/files/anthem-ra-cap.pdf,Read the Resolution Agreement,404
https://www.hhs.gov/answers/medicare-and-medicaid/how-much-are-medicare-premiums/index.html,https://www.medicare.gov/your-medicare-costs/get-help-paying-costs/find-your-level-of-extra-help-part-d,Costs if you get Extra Help,404
https://www.hhs.gov/surgeongeneral/reports-and-publications/skin-cancer/executive-summary/index.html,https://www.thecommunityguide.org/cancer/skin/education-policy/outdooroccupations.html,https://www.thecommunityguide.org/cancer/skin/education-policy/outdooroccupations.html.,404
https://www.hhs.gov/answers/medicare-and-medicaid/how-much-are-medicare-premiums/index.html,https://www.medicare.gov/your-medicare-costs/part-b-costs,How much does Part B cost?,404
https://www.hhs.gov/civil-rights/for-providers/civil-rights-covid19/index.html,https://www.cdc.gov/coronavirus/2019-ncov/downloads/stop-the-spread-of-germs-sp.pdf,Spanish,404
https://www.hhs.gov/surgeongeneral/reports-and-publications/youth-vaping/index.html,https://digitalmedia.hhs.gov/tobacco/print_materials/CTP-252?locale=en,Vaping Misperceptions,404
https://www.hhs.gov/hipaa/for-professionals/special-topics/research/index.html,https://www.hhs.gov/guidance/sites/default/files/hhs-guidance-documents//hipaa-future-research-authorization-guidance-06122018%20v2.pdf,New Guidance on HIPAA and individual authorization of uses and disclosures of protected health information for research.,404
https://www.hhs.gov/about/agencies/asl/testimony/2024/06/13/checking-in-on-cmmi-assessing-the-transition-to-value-based-care.html,https://www.cms.gov/blog/cms-innovation-centers-strategy-support-high-quality-primarycare,https://www.cms.gov/blog/cms-innovation-centers-strategy-support-high-quality-primarycare,404
https://www.hhs.gov/ohrp/regulations-and-policy/belmont-report/access-other-reports-by-the-national-commission/index.html,https://videocast.nih.gov/pdf/ohrp_appendix_research_involving_children.pdf,Appendix,404
https://www.hhs.gov/guidance/document/coronavirus-covid-19-partner-toolkit,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html,How to Protect Yourself and Others,404
https://www.hhs.gov/guidance/document/coronavirus-covid-19-partner-toolkit,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html,"The 3Ws (Wear, Wait, Wash) and promote vaccinations",404
https://www.hhs.gov/programs/topic-sites/sexually-transmitted-infections/resources/index.html,https://www.cdc.gov/std/treatment/default.htm,STI Screening and Treatment,404
https://www.hhs.gov/surgeongeneral/reports-and-publications/tobacco/index.html,https://www.cdc.gov/tobacco/data_statistics/sgr/2020-smoking-cessation/fact-sheets/healthcare-professionals-health-systems/index.html,Factsheet - Summary for Health Care Professionals,404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1),404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,2008 engagement guidance document,404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(A)(5),404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1),404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(A)(5),404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1)(b),404
https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/index.html,https://www.hhs.gov/ohrp/regulations-and-policy/guidance/engagement-of-survey-firms/regulations-and-policy/guidance/guidance-on-engagement-of-institutions/index.html,(B)(1)(c),404
https://www.hhs.gov/guidance/document/agentbroker-faq-regarding-health-reimbursement-arrangements,https://www.hhs.gov/guidance/sites/default/files/hhs-guidance-documents/2012313941-kt-agent_and_broker_frequently_asked_questions_database.pdf,Download the Guidance Document,404
https://www.hhs.gov/grants-contracts/small-business-support/small-business-resources/index.html,https://www.nih.gov/about/getinvolved/smallbusiness.htm,Small Business Opportunities at NIH,404
https://www.hhs.gov/ohrp/sachrp-committee/meetings/2017-october-17-18/index.html,https://videocast.nih.gov/live.asp?live=26515,"Wednesday, October 18, 2017",404
https://www.hhs.gov/ohrp/sachrp-committee/meetings/2017-october-17-18/index.html,https://videocast.nih.gov/live.asp?live=26511,"Tuesday, October 17, 2017",404
https://www.hhs.gov/civil-rights/for-individuals/disability/guidance-on-nondiscrimination-in-telehealth/index.html,https://telehealth.hhs.gov/providers/health-equity-in-telehealth,https://telehealth.hhs.gov/providers/health-equity-in-telehealth,404
https://www.hhs.gov/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/index.html,https://www.hhs.gov/pt/civil-rights/for-individuals/disability/section-504-rehabilitation-act-of-1973/fact-sheet/index.html,Portuguese,404
https://www.hhs.gov/answers/health-insurance-reform/how-can-i-complain-about-poor-medical-care/index.html,https://www.medicare.gov/claims-and-appeals/file-an-appeal/appeals.html,file an appeal,404
https://www.hhs.gov/about/agencies/dab/decisions/alj-decisions/2021/alj-ruling-2021-6/index.html,https://www.kdads.ks.gov/docs/default-source/General-Provider-Pages/provider-statutes-and-regulations/ksa-and-kar-for-adult-care-homes/federal-regulations-for-skilled-nursing-facilities/appendix-pp---guidance-to-surveyors-long-term-care-facilities.pdf?sfvrsn=742731ee_2,https://www.kdads.ks.gov/docs/default-source/General-Provider-Pages/provider-statutes-and-regulations/ksa-and-kar-for-adult-care-homes/federal-regulations-for-skilled-nursing-facilities/appendix-pp---guidance-to-surveyors-long-term-care-facilities.pdf?sfvrsn=742731ee_2,404
https://www.hhs.gov/about/agencies/asa/psc/real-property-policy-strategy/index.html,https://www.hhs.gov/hhs-manuals/gam-part-30/index.html,"HHS Administration Manual, Part 30 Environmental Protection",404
